route_long_name,trip_headsign,arrival_time
山手線,内回り,22:21:00
山手線,外回り,22:24:00
三田線,日吉,22:24:00
山手線,内回り,22:26:00
山手線,外回り・大崎,22:28:00
三田線,西高島平,22:28:00
三田線,日吉,22:30:00
山手線,内回り,22:31:00
山手線,外回り,22:32:00
南北線,浦和美園,22:33:00
山手線,外回り,22:37:00
南北線,日吉,22:37:00
山手線,内回り,22:38:00
三田線,西高島平,22:38:00
山手線,外回り,22:42:00
山手線,内回り,22:45:00
山手線,外回り,22:46:00
三田線,日吉,22:46:00
三田線,西高島平,22:46:00
山手線,内回り,22:51:00
山手線,外回り,22:51:00
三田線,日吉,22:53:00
山手線,外回り・池袋,22:55:00
南北線,浦和美園,22:57:00
山手線,内回り,22:58:00
山手線,外回り,22:59:00
南北線,日吉,23:03:00
山手線,内回り,23:04:00
山手線,外回り,23:04:00
三田線,西高島平,23:06:00
山手線,内回り,23:10:00
山手線,外回り,23:10:00
三田線,日吉,23:11:00
山手線,内回り,23:16:00
山手線,外回り・大崎,23:16:00
三田線,西高島平,23:17:00
南北線,日吉,23:20:00
山手線,外回り,23:21:00
山手線,内回り,23:25:00
南北線,赤羽岩淵,23:25:00
山手線,外回り・大崎,23:27:00
南北線,日吉,23:30:00
山手線,内回り,23:31:00
山手線,外回り・品川,23:32:00
南北線,浦和美園,23:33:00
