stop_id,stop_name,stop_code,stop_lat,stop_lon,zone_id
KokusaiKogyoBus.NishiikebukuroDoori.76.1,西池袋通り,1,35.7283830589715,139.700306971067,KokusaiKogyoBus.NishiikebukuroDoori.76.1
KokusaiKogyoBus.AngyouharaKubo.1165.2,安行原久保,2,35.8417520327688,139.765143878804,KokusaiKogyoBus.AngyouharaKubo.1165.2
KokusaiKogyoBus.TsubakiNiChoume.553.1,椿二丁目,1,35.7783583950869,139.758927362528,KokusaiKogyoBus.TsubakiNiChoume.553.1
KokusaiKogyoBus.Takahata.932.1,高畑,1,35.817519576336,139.759230652209,KokusaiKogyoBus.Takahata.932.1
KokusaiKogyoBus.AobadaiKouen.221.2,青葉台公園,2,35.7941940708941,139.589397935338,KokusaiKogyoBus.AobadaiKouen.221.2
NishiTokyoBus.Kowada.8063.17,小和田,17,35.724307181708,139.220855558489,NishiTokyoBus.Kowada.8063.17
SeibuBus.Higashiyamatoshieki.70206.4,東大和市駅,4,35.7336125,139.434726944444,SeibuBus.Higashiyamatoshieki.70206.4
NishiTokyoBus.Nagire.1570.10,縄切,10,35.682622,139.258966,NishiTokyoBus.Nagire.1570.10
KantoBus.Nakamurachuugaku.4329.1,中村中学,1,35.728632779072306,139.64562852711052,KantoBus.Nakamurachuugaku.4329.1
NishiTokyoBus.HamuraStationWest.8704.10,羽村駅西,10,35.7563067838624,139.314514084534,NishiTokyoBus.HamuraStationWest.8704.10
NishiTokyoBus.TajimaBashiBridge.90.10,田島橋,10,35.6792642614928,139.366255279477,NishiTokyoBus.TajimaBashiBridge.90.10
NishiTokyoBus.Haramise.3310.8,原店,8,35.7259717756529,139.271412949761,NishiTokyoBus.Haramise.3310.8
NishiTokyoBus.Katakuradai.8305.8,片倉台,8,35.6320759174503,139.347031826615,NishiTokyoBus.Katakuradai.8305.8
NishiTokyoBus.TakaoStationWest.8358.17,高尾駅西,17,35.642217,139.280289,NishiTokyoBus.TakaoStationWest.8358.17
NishiTokyoBus.MatsuyamaBashiBridge.8007.18,松山橋,18,35.7414381911813,139.304035361655,NishiTokyoBus.MatsuyamaBashiBridge.8007.18
NishiTokyoBus.Nakatakase.8019.18,中高瀬,18,35.7359785985842,139.309830131801,NishiTokyoBus.Nakatakase.8019.18
NishiTokyoBus.Akigawa3Chome.4082.16,秋川３丁目,16,35.7345166460979,139.284514801534,NishiTokyoBus.Akigawa3Chome.4082.16
NishiTokyoBus.MusashinoParkMae.8554.27,武蔵野公園前,27,35.7732498863364,139.309631765387,NishiTokyoBus.MusashinoParkMae.8554.27
NishiTokyoBus.ToeinaganumaBldg12.8320.8,都営長沼１２号棟前,8,35.6458647194628,139.362882653066,NishiTokyoBus.ToeinaganumaBldg12.8320.8
NishiTokyoBus.ToeinaganumaBldg14.8321.8,都営長沼１４号棟前,8,35.6454203408888,139.363932586332,NishiTokyoBus.ToeinaganumaBldg14.8321.8
NishiTokyoBus.FujimiES.8533.27,富士見小学校,27,35.7622325972829,139.317855200859,NishiTokyoBus.FujimiES.8533.27
NishiTokyoBus.FujimiPark.8531.30,富士見公園,30,35.7659677073274,139.315221636474,NishiTokyoBus.FujimiPark.8531.30
NishiTokyoBus.ItsukaichiBranchOffice.8065.17,五日市出張所,17,35.7299679574611,139.220417278672,NishiTokyoBus.ItsukaichiBranchOffice.8065.17
NishiTokyoBus.Itsukaichi.2380.17,五日市（下町車庫）,17,35.728573989804,139.223274605561,NishiTokyoBus.Itsukaichi.2380.17
NishiTokyoBus.ItsukaichiBranchOffice.8065.8,五日市出張所,8,35.7299676797082,139.22041700093,NishiTokyoBus.ItsukaichiBranchOffice.8065.8
NishiTokyoBus.FujimiES.8533.29,富士見小学校,29,35.7622325972829,139.317855200859,NishiTokyoBus.FujimiES.8533.29
NishiTokyoBus.HirasawahachimanHonshaMae.8020.18,平沢八幡本社前,18,35.7342014924079,139.305591676742,NishiTokyoBus.HirasawahachimanHonshaMae.8020.18
NishiTokyoBus.AkigawaFureaiCenter.8021.18,秋川ふれあいセンター,18,35.7330326592578,139.301625393292,NishiTokyoBus.AkigawaFureaiCenter.8021.18
NishiTokyoBus.Hanenishi2Chome.8566.29,羽西二丁目,29,35.7708396629889,139.297988954406,NishiTokyoBus.Hanenishi2Chome.8566.29
NishiTokyoBus.MusashiHikidaStationIriguchi.4352.16,武蔵引田駅入口,16,35.7299899510261,139.271072237478,NishiTokyoBus.MusashiHikidaStationIriguchi.4352.16
NishiTokyoBus.Haramise.3310.16,原店,16,35.7255912684625,139.271851819724,NishiTokyoBus.Haramise.3310.16
NishiTokyoBus.Fuchigami.3320.16,渕上,16,35.7261801732488,139.276368084202,NishiTokyoBus.Fuchigami.3320.16
NishiTokyoBus.MatsueNurserySchool.8206.8,松枝保育園前,8,35.6826239997919,139.292332652868,NishiTokyoBus.MatsueNurserySchool.8206.8
NishiTokyoBus.KasugakaikanNishi.8323.8,春日会館西,8,35.6459521805905,139.36119278938,NishiTokyoBus.KasugakaikanNishi.8323.8
NishiTokyoBus.KasugaBashiBridgeMminami.8334.8,春日橋南,8,35.6435563392392,139.361965613297,NishiTokyoBus.KasugaBashiBridgeMminami.8334.8
NishiTokyoBus.NaganumaYamashitaPark.8324.8,長沼山下公園,8,35.6429600473157,139.363865482971,NishiTokyoBus.NaganumaYamashitaPark.8324.8
NishiTokyoBus.NaganumaStation.8325.8,長沼駅,8,35.6429239852403,139.366451936496,NishiTokyoBus.NaganumaStation.8325.8
NishiTokyoBus.NaganumaParkKita.8326.8,長沼公園北,8,35.6418463698108,139.369147595578,NishiTokyoBus.NaganumaParkKita.8326.8
NishiTokyoBus.HotaruPark.8327.8,ほたる公園,8,35.6420669463839,139.371701539985,NishiTokyoBus.HotaruPark.8327.8
NishiTokyoBus.KitanoStationStreet.8314.8,北野駅前通り,8,35.6469927935003,139.354945760274,NishiTokyoBus.KitanoStationStreet.8314.8
NishiTokyoBus.KitanoStationNorthExit.8315.8,北野駅北口,8,35.6448149613991,139.354402572334,NishiTokyoBus.KitanoStationNorthExit.8315.8
NishiTokyoBus.ToeinaganumaBldg12.8320.17,都営長沼１２号棟前,17,35.6458647194628,139.362882653066,NishiTokyoBus.ToeinaganumaBldg12.8320.17
NishiTokyoBus.FujimiES.8533.28,富士見小学校,28,35.7622642618823,139.317930748683,NishiTokyoBus.FujimiES.8533.28
NishiTokyoBus.HamuraStationIiriguchi.8550.28,羽村駅入口,28,35.7600467303626,139.318449974338,NishiTokyoBus.HamuraStationIiriguchi.8550.28
NishiTokyoBus.HamuraStationEastExit.4660.27,羽村駅東口,27,35.758803768453,139.316199940658,NishiTokyoBus.HamuraStationEastExit.4660.27
NishiTokyoBus.KitanoTenjinShrine.8312.8,北野天神,8,35.648481461689,139.351426539549,NishiTokyoBus.KitanoTenjinShrine.8312.8
NishiTokyoBus.IchibaMae.8317.17,市場前,17,35.6517173070227,139.356025453058,NishiTokyoBus.IchibaMae.8317.17
NishiTokyoBus.Kitsunezuka.1210.1,狐塚,1,35.6717351465676,139.227696855542,NishiTokyoBus.Kitsunezuka.1210.1
NishiTokyoBus.HamuraCitySportsCenter.8524.27,スポーツセンター,27,35.7676818334007,139.307491366202,NishiTokyoBus.HamuraCitySportsCenter.8524.27
